Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
dairy-queen,Small Cherry Misty Slush,200,1,0.2,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,12.0,12.0,5.0
dairy-queen,Medium Cherry Misty Slush,260,2,0.2,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,16.0,16.0,7.0
dairy-queen,Large Cherry Misty Slush,340,2,0.3,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,21.0,21.0,9.0
dairy-queen,Small Grape Misty Slush,200,1,0.2,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,12.0,12.0,5.0
dairy-queen,Medium Grape Misty Slush,260,2,0.2,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,16.0,16.0,7.0
dairy-queen,Large Grape Misty Slush,340,2,0.3,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,21.0,21.0,9.0
dairy-queen,Small Lemon Lime Misty Slush,200,1,0.2,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,12.0,12.0,5.0
dairy-queen,Medium Lemon Lime Misty Slush,260,2,0.2,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,16.0,16.0,7.0
dairy-queen,Large Lemon Lime Misty Slush,340,2,0.3,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,21.0,21.0,9.0
dairy-queen,Small Misty Float,300,60,6.0,4.0,0.0,20.0,135.0,61.0,0.0,56.0,5.0,9.0,20.0,7.0,6.0,20.0,0.0,10.0,8.0,0.0,20.0,0.0,Misty Slush,16.0,16.0,9.0
dairy-queen,Medium Misty Float,380,70,8.0,5.0,0.0,30.0,170.0,76.0,0.0,70.0,7.0,12.0,25.0,10.0,7.0,25.0,0.0,14.0,10.0,0.0,20.0,0.0,Misty Slush,21.0,21.0,11.0
dairy-queen,Large Misty Float,500,90,10.0,6.0,0.0,35.0,220.0,100.0,0.0,92.0,9.0,15.0,30.0,12.0,9.0,33.0,0.0,18.0,15.0,0.0,30.0,0.0,Misty Slush,27.0,27.0,14.0
dairy-queen,Small Misty Freeze,360,90,10.0,7.0,0.0,35.0,200.0,64.0,0.0,56.0,9.0,15.0,35.0,12.0,8.0,21.0,0.0,18.0,15.0,0.0,30.0,0.0,Misty Slush,19.0,19.0,10.0
dairy-queen,Medium Misty Freeze,450,120,13.0,8.0,0.0,45.0,250.0,79.0,0.0,69.0,11.0,20.0,40.0,15.0,10.0,26.0,0.0,22.0,20.0,0.0,40.0,0.0,Misty Slush,23.0,23.0,13.0
dairy-queen,Large Misty Freeze,580,150,17.0,11.0,0.0,60.0,320.0,105.0,0.0,92.0,14.0,26.0,55.0,20.0,13.0,35.0,0.0,28.0,25.0,0.0,45.0,0.0,Misty Slush,30.0,30.0,17.0
dairy-queen,Small Strawberry Kiwi Misty Slush,200,1,0.2,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,12.0,12.0,5.0
dairy-queen,Medium Strawberry Kiwi Misty Slush,260,2,0.2,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,16.0,16.0,7.0
dairy-queen,Large Strawberry Kiwi Misty Slush,340,2,0.3,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,21.0,21.0,9.0
dairy-queen,Small Cappuccino MooLatte,440,140,16.0,11.0,0.0,40.0,220.0,70.0,0.0,60.0,9.0,25.0,55.0,13.0,9.0,23.0,0.0,18.0,15.0,0.0,30.0,0.0,MooLattes,23.0,23.0,13.0
dairy-queen,Medium Cappuccino MooLatte,550,170,19.0,14.0,0.0,50.0,300.0,89.0,0.0,76.0,12.0,29.0,70.0,17.0,13.0,30.0,0.0,24.0,20.0,0.0,40.0,0.0,MooLattes,29.0,29.0,16.0
dairy-queen,Large Cappuccino MooLatte,680,200,22.0,16.0,0.0,65.0,380.0,114.0,0.0,98.0,15.0,34.0,80.0,22.0,16.0,38.0,0.0,30.0,25.0,0.0,50.0,0.0,MooLattes,35.0,35.0,19.0
dairy-queen,Small Caramel MooLatte,500,150,16.0,12.0,0.0,40.0,260.0,86.0,0.0,71.0,9.0,25.0,60.0,13.0,11.0,29.0,0.0,18.0,15.0,0.0,30.0,0.0,MooLattes,26.0,26.0,14.0
dairy-queen,Medium Caramel MooLatte,630,180,20.0,14.0,0.0,50.0,340.0,109.0,0.0,90.0,12.0,31.0,70.0,17.0,14.0,36.0,0.0,24.0,20.0,0.0,40.0,0.0,MooLattes,33.0,33.0,18.0
dairy-queen,Large Caramel MooLatte,800,210,23.0,16.0,0.0,65.0,430.0,143.0,0.0,118.0,15.0,35.0,80.0,22.0,18.0,48.0,0.0,30.0,25.0,0.0,50.0,0.0,MooLattes,41.0,41.0,23.0
dairy-queen,Small Mocha MooLatte,490,170,19.0,12.0,0.0,40.0,230.0,78.0,1.0,67.0,10.0,29.0,60.0,13.0,10.0,26.0,4.0,20.0,15.0,0.0,30.0,4.0,MooLattes,25.0,25.0,14.0
dairy-queen,Medium Mocha MooLatte,660,240,27.0,16.0,0.0,50.0,320.0,102.0,1.0,87.0,13.0,42.0,80.0,17.0,13.0,34.0,4.0,26.0,20.0,0.0,40.0,8.0,MooLattes,34.0,34.0,19.0
dairy-queen,Large Mocha MooLatte,790,270,30.0,17.0,0.0,60.0,400.0,127.0,2.0,110.0,16.0,46.0,85.0,20.0,17.0,42.0,8.0,32.0,25.0,0.0,45.0,10.0,MooLattes,40.0,40.0,23.0
dairy-queen,Small Vanilla MooLatte,470,140,15.0,11.0,0.0,40.0,220.0,81.0,0.0,71.0,9.0,23.0,55.0,13.0,9.0,27.0,0.0,18.0,15.0,0.0,30.0,0.0,MooLattes,25.0,25.0,13.0
dairy-queen,Medium Vanilla MooLatte,590,170,19.0,13.0,0.0,50.0,290.0,102.0,0.0,89.0,12.0,29.0,65.0,17.0,12.0,34.0,0.0,24.0,20.0,0.0,40.0,0.0,MooLattes,31.0,31.0,17.0
dairy-queen,Large Vanilla MooLatte,740,190,21.0,15.0,0.0,60.0,360.0,131.0,0.0,116.0,14.0,32.0,75.0,20.0,15.0,44.0,0.0,28.0,25.0,0.0,45.0,0.0,MooLattes,39.0,39.0,21.0
dairy-queen,Buster Bar,450,250,28.0,17.0,0.0,15.0,210.0,43.0,2.0,35.0,10.0,43.0,85.0,5.0,9.0,14.0,8.0,20.0,0.0,0.0,13.0,7.0,Novelties,22.0,22.0,13.0
dairy-queen,Dilly Bar,190,90,10.0,8.0,0.2,15.0,55.0,21.0,0.0,18.0,3.0,15.0,40.0,5.0,2.0,7.0,0.0,6.0,0.0,0.0,8.0,2.0,Novelties,10.0,10.0,5.0
dairy-queen,Fudge Bar,60,3,0.0,0.0,0.0,5.0,45.0,16.0,5.0,6.0,4.0,0.0,0.0,2.0,2.0,5.0,20.0,8.0,0.0,0.0,6.0,0.0,Novelties,2.0,2.0,2.0
dairy-queen,Ice Cream Sandwich,190,60,7.0,3.0,0.0,15.0,200.0,30.0,1.0,18.0,4.0,11.0,15.0,5.0,8.0,10.0,4.0,8.0,0.0,0.0,10.0,6.0,Novelties,8.0,8.0,5.0
dairy-queen,Non-Dairy Dilly Bar,240,130,14.0,13.0,0.0,0.0,10.0,28.0,1.0,18.0,1.0,22.0,65.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,0.0,3.0,Novelties,13.0,13.0,7.0
dairy-queen,Vanilla Orange Bar,70,2,0.0,0.0,0.0,0.0,50.0,20.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,7.0,24.0,4.0,0.0,0.0,4.0,0.0,Novelties,2.0,2.0,2.0
dairy-queen,Small Mango Pineapple Julius,240,1,0.1,0.0,0.0,0.0,35.0,59.0,0.0,57.0,0.4,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,15.0,0.0,0.0,Orange Julius,14.0,14.0,6.0
dairy-queen,Medium Mango Pineapple Julius,320,2,0.2,0.0,0.0,0.0,45.0,78.0,1.0,75.0,1.0,0.0,0.0,0.0,2.0,26.0,4.0,2.0,0.0,25.0,2.0,0.0,Orange Julius,19.0,19.0,9.0
dairy-queen,Large Mango Pineapple Julius,470,3,0.3,0.0,0.0,0.0,70.0,117.0,1.0,114.0,1.0,0.0,0.0,0.0,3.0,39.0,4.0,2.0,0.0,35.0,2.0,2.0,Orange Julius,28.0,28.0,13.0
dairy-queen,Small Mango Pineapple Smoothie,260,3,0.3,0.2,0.0,5.0,70.0,62.0,1.0,49.0,3.0,0.0,1.0,2.0,3.0,21.0,4.0,6.0,0.0,35.0,4.0,2.0,Orange Julius,14.0,14.0,7.0
dairy-queen,Medium Mango Pineapple Smoothie,350,4,0.5,0.4,0.0,10.0,100.0,82.0,1.0,63.0,4.0,1.0,2.0,3.0,4.0,27.0,4.0,8.0,0.0,40.0,4.0,2.0,Orange Julius,18.0,18.0,9.0
dairy-queen,Large Mango Pineapple Smoothie,440,5,0.5,0.5,0.0,10.0,135.0,102.0,1.0,77.0,5.0,1.0,3.0,3.0,6.0,34.0,4.0,10.0,0.0,50.0,6.0,2.0,Orange Julius,22.0,22.0,12.0
dairy-queen,Extra Large Mango Pineapple Smoothie,610,5,1.0,0.5,0.0,15.0,170.0,143.0,1.0,112.0,7.0,2.0,3.0,5.0,7.0,48.0,4.0,14.0,0.0,80.0,8.0,2.0,Orange Julius,32.0,32.0,16.0
dairy-queen,Small Orange Julius,200,3,0.3,0.0,0.0,0.0,35.0,49.0,0.0,45.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,2.0,0.0,90.0,2.0,2.0,Orange Julius,11.0,11.0,5.0
dairy-queen,Medium Orange Julius,260,4,0.5,0.0,0.0,0.0,45.0,63.0,1.0,57.0,1.0,1.0,0.0,0.0,2.0,21.0,4.0,2.0,0.0,130.0,2.0,2.0,Orange Julius,15.0,15.0,7.0
dairy-queen,Large Orange Julius,400,5,0.5,0.1,0.0,0.0,70.0,98.0,1.0,90.0,2.0,1.0,1.0,0.0,3.0,33.0,4.0,4.0,0.0,170.0,4.0,4.0,Orange Julius,23.0,23.0,11.0
dairy-queen,Small Strawberry Banana Smoothie,270,4,0.4,0.2,0.0,5.0,75.0,64.0,2.0,49.0,3.0,1.0,1.0,2.0,3.0,21.0,8.0,6.0,0.0,60.0,4.0,4.0,Orange Julius,14.0,14.0,7.0
dairy-queen,Medium Strawberry Banana Smoothie,370,5,0.5,0.4,0.0,10.0,110.0,86.0,2.0,64.0,4.0,1.0,2.0,3.0,5.0,29.0,8.0,8.0,0.0,80.0,6.0,4.0,Orange Julius,19.0,19.0,10.0
dairy-queen,Large Strawberry Banana Smoothie,460,10,1.0,0.5,0.0,10.0,140.0,109.0,3.0,78.0,6.0,2.0,3.0,3.0,6.0,36.0,12.0,12.0,0.0,100.0,8.0,6.0,Orange Julius,23.0,23.0,12.0
dairy-queen,Extra Large Strawberry Banana Smoothie,640,10,1.0,0.5,0.0,15.0,180.0,151.0,4.0,112.0,7.0,2.0,3.0,5.0,8.0,50.0,16.0,14.0,0.0,140.0,10.0,8.0,Orange Julius,32.0,32.0,17.0
dairy-queen,Small Strawberry Julius,230,1,0.2,0.0,0.0,0.0,40.0,57.0,1.0,55.0,0.4,0.0,0.0,0.0,2.0,19.0,4.0,1.0,0.0,30.0,0.0,2.0,Orange Julius,14.0,14.0,6.0
dairy-queen,Medium Strawberry Julius,300,2,0.2,0.0,0.0,0.0,50.0,75.0,1.0,72.0,1.0,0.0,0.0,0.0,2.0,25.0,4.0,2.0,0.0,45.0,2.0,2.0,Orange Julius,18.0,18.0,8.0
dairy-queen,Large Strawberry Julius,450,3,0.3,0.0,0.0,0.0,75.0,113.0,1.0,110.0,1.0,0.0,0.0,0.0,3.0,38.0,4.0,2.0,0.0,60.0,2.0,2.0,Orange Julius,27.0,27.0,12.0
dairy-queen,Small Strawberry Smoothie,240,3,0.3,0.2,0.0,5.0,75.0,57.0,1.0,45.0,3.0,0.0,1.0,2.0,3.0,19.0,4.0,6.0,0.0,60.0,4.0,2.0,Orange Julius,12.0,12.0,6.0
dairy-queen,Medium Strawberry Smoothie,330,4,0.5,0.3,0.0,10.0,110.0,76.0,2.0,58.0,4.0,1.0,2.0,3.0,5.0,25.0,8.0,8.0,0.0,70.0,6.0,4.0,Orange Julius,17.0,17.0,9.0
dairy-queen,Large Strawberry Smoothie,410,5,0.5,0.4,0.0,10.0,140.0,95.0,2.0,71.0,5.0,1.0,2.0,3.0,6.0,32.0,8.0,10.0,0.0,90.0,6.0,4.0,Orange Julius,21.0,21.0,11.0
dairy-queen,Extra Large Strawberry Smoothie,570,10,1.0,0.5,0.0,15.0,180.0,134.0,3.0,103.0,7.0,2.0,3.0,5.0,8.0,45.0,12.0,14.0,0.0,130.0,8.0,6.0,Orange Julius,29.0,29.0,15.0
dairy-queen,Small Caramel Shake,550,190,21.0,14.0,0.0,60.0,320.0,84.0,0.0,67.0,15.0,32.0,70.0,20.0,13.0,28.0,0.0,30.0,25.0,0.0,50.0,0.0,Shakes,27.0,27.0,16.0
dairy-queen,Medium Caramel Shake,750,230,26.0,17.0,0.0,75.0,440.0,120.0,0.0,95.0,19.0,40.0,85.0,25.0,18.0,40.0,0.0,38.0,30.0,0.0,60.0,0.0,Shakes,37.0,37.0,21.0
dairy-queen,Large Caramel Shake,980,290,32.0,21.0,0.0,95.0,580.0,160.0,0.0,127.0,24.0,49.0,105.0,32.0,24.0,53.0,0.0,48.0,40.0,2.0,80.0,0.0,Shakes,48.0,48.0,28.0
dairy-queen,Small Cherry Shake,490,180,20.0,14.0,0.0,55.0,290.0,73.0,0.0,61.0,14.0,31.0,70.0,18.0,12.0,24.0,0.0,28.0,20.0,2.0,45.0,0.0,Shakes,25.0,25.0,14.0
dairy-queen,Medium Cherry Shake,630,210,24.0,16.0,0.0,70.0,370.0,98.0,0.0,82.0,18.0,37.0,80.0,23.0,15.0,33.0,0.0,36.0,30.0,2.0,60.0,0.0,Shakes,32.0,32.0,18.0
dairy-queen,Large Cherry Shake,810,260,29.0,19.0,0.0,85.0,470.0,127.0,1.0,107.0,23.0,45.0,95.0,28.0,20.0,42.0,4.0,46.0,35.0,4.0,80.0,0.0,Shakes,40.0,40.0,23.0
dairy-queen,Small Chocolate Shake,530,180,20.0,14.0,0.0,55.0,300.0,82.0,1.0,69.0,14.0,31.0,70.0,18.0,13.0,27.0,4.0,28.0,20.0,0.0,45.0,4.0,Shakes,27.0,27.0,15.0
dairy-queen,Medium Chocolate Shake,710,220,24.0,16.0,0.0,70.0,400.0,115.0,1.0,98.0,18.0,37.0,80.0,23.0,17.0,38.0,4.0,36.0,30.0,0.0,60.0,8.0,Shakes,36.0,36.0,20.0
dairy-queen,Large Chocolate Shake,910,260,29.0,19.0,0.0,85.0,520.0,153.0,2.0,131.0,24.0,45.0,95.0,28.0,22.0,51.0,8.0,48.0,35.0,0.0,80.0,10.0,Shakes,46.0,46.0,26.0
dairy-queen,Small Hot Fudge Shake,550,210,23.0,17.0,0.0,55.0,320.0,79.0,0.0,63.0,15.0,35.0,85.0,18.0,13.0,26.0,0.0,30.0,20.0,0.0,50.0,4.0,Shakes,27.0,27.0,16.0
dairy-queen,Medium Hot Fudge Shake,750,280,31.0,23.0,0.0,70.0,440.0,111.0,1.0,87.0,19.0,48.0,115.0,23.0,18.0,37.0,4.0,38.0,30.0,0.0,60.0,6.0,Shakes,38.0,38.0,22.0
dairy-queen,Large Hot Fudge Shake,990,350,39.0,29.0,0.0,90.0,580.0,147.0,1.0,114.0,25.0,60.0,145.0,30.0,24.0,49.0,4.0,50.0,35.0,2.0,80.0,10.0,Shakes,49.0,49.0,28.0
dairy-queen,Small Pumpkin Shake,490,160,18.0,12.0,0.0,45.0,320.0,76.0,3.0,65.0,13.0,28.0,60.0,15.0,13.0,25.0,12.0,26.0,0.0,0.0,0.0,0.0,Shakes,25.0,25.0,14.0
dairy-queen,Medium Pumpkin Shake,600,190,21.0,14.0,0.0,55.0,410.0,96.0,3.0,82.0,16.0,32.0,70.0,18.0,17.0,32.0,12.0,32.0,0.0,0.0,0.0,0.0,Shakes,30.0,30.0,17.0
dairy-queen,Large Pumpkin Shake,810,250,27.0,18.0,0.0,75.0,580.0,130.0,5.0,114.0,21.0,42.0,90.0,25.0,24.0,43.0,20.0,42.0,0.0,0.0,0.0,0.0,Shakes,41.0,41.0,23.0
dairy-queen,Small S'mores Shake,640,290,32.0,21.0,0.0,50.0,310.0,82.0,1.0,6.0,13.0,49.0,105.0,17.0,13.0,27.0,4.0,26.0,0.0,0.0,0.0,0.0,Shakes,25.0,25.0,18.0
dairy-queen,Medium S'mores Shake,910,450,50.0,32.0,0.0,60.0,430.0,108.0,1.0,87.0,17.0,77.0,160.0,20.0,18.0,36.0,4.0,34.0,0.0,0.0,0.0,0.0,Shakes,45.0,45.0,26.0
dairy-queen,Large S'mores Shake,1230,610,67.0,43.0,0.0,70.0,570.0,147.0,2.0,118.0,21.0,103.0,215.0,23.0,24.0,49.0,8.0,42.0,0.0,0.0,0.0,0.0,Shakes,61.0,61.0,35.0
dairy-queen,Small Strawberry Shake,490,180,20.0,14.0,0.0,55.0,280.0,70.0,0.0,58.0,14.0,31.0,70.0,18.0,12.0,23.0,0.0,28.0,20.0,15.0,45.0,0.0,Shakes,24.0,24.0,14.0
dairy-queen,Medium Strawberry Shake,620,210,24.0,16.0,0.0,70.0,360.0,93.0,0.0,77.0,18.0,37.0,80.0,23.0,15.0,31.0,0.0,36.0,30.0,30.0,60.0,2.0,Shakes,31.0,31.0,18.0
dairy-queen,Large Strawberry Shake,780,260,29.0,19.0,0.0,85.0,460.0,119.0,1.0,99.0,23.0,45.0,95.0,28.0,19.0,40.0,4.0,46.0,35.0,45.0,80.0,2.0,Shakes,39.0,39.0,22.0
dairy-queen,Small Vanilla Shake,520,180,20.0,14.0,0.0,55.0,290.0,78.0,0.0,67.0,14.0,31.0,70.0,18.0,12.0,26.0,0.0,28.0,25.0,0.0,50.0,0.0,Shakes,26.0,26.0,15.0
dairy-queen,Medium Vanilla Shake,660,220,24.0,16.0,0.0,70.0,370.0,102.0,0.0,88.0,18.0,37.0,80.0,23.0,15.0,34.0,0.0,36.0,30.0,0.0,60.0,0.0,Shakes,33.0,33.0,19.0
dairy-queen,Large Vanilla Shake,850,280,31.0,20.0,0.2,95.0,480.0,134.0,0.0,115.0,24.0,48.0,100.0,32.0,20.0,45.0,0.0,48.0,0.0,0.0,70.0,0.0,Shakes,43.0,43.0,25.0
dairy-queen,Buffalo Chicken Snack Melt,250,110,12.0,4.5,0.2,25.0,820.0,24.0,1.0,4.0,13.0,18.0,23.0,8.0,34.0,8.0,4.0,26.0,0.0,2.0,10.0,6.0,Snacks & Sides,7.0,8.0,7.0
dairy-queen,Chicken BBQ Snack Melt,270,100,11.0,5.0,0.2,35.0,870.0,27.0,1.0,7.0,16.0,17.0,25.0,12.0,36.0,9.0,4.0,32.0,0.0,4.0,10.0,6.0,Snacks & Sides,8.0,9.0,7.0
dairy-queen,Grilled Chicken BLT Salad,260,100,11.0,4.5,0.1,65.0,1160.0,10.0,3.0,6.0,32.0,17.0,23.0,22.0,48.0,3.0,12.0,64.0,0.0,50.0,40.0,15.0,Snacks & Sides,5.0,7.0,7.0
dairy-queen,Crispy Chicken BLT Salad,380,180,20.0,5.0,0.2,65.0,1110.0,27.0,4.0,5.0,26.0,31.0,25.0,22.0,46.0,9.0,16.0,52.0,0.0,50.0,40.0,20.0,Snacks & Sides,10.0,11.0,10.0
dairy-queen,Grilled FlameThrower Chicken Wrap,290,150,16.0,4.0,0.2,30.0,830.0,22.0,1.0,2.0,15.0,25.0,20.0,10.0,35.0,7.0,4.0,30.0,0.0,4.0,10.0,6.0,Snacks & Sides,8.0,9.0,8.0
dairy-queen,Crispy FlameThrower Chicken Wrap,360,190,21.0,4.5,0.2,30.0,820.0,31.0,2.0,1.0,12.0,32.0,23.0,10.0,34.0,10.0,8.0,24.0,0.0,4.0,10.0,10.0,Snacks & Sides,10.0,11.0,10.0
dairy-queen,Kids Fries,250,90,10.0,0.5,0.0,0.0,670.0,38.0,4.0,0.0,3.0,15.0,3.0,0.0,28.0,13.0,16.0,6.0,0.0,35.0,2.0,6.0,Snacks & Sides,7.0,7.0,7.0
dairy-queen,Regular Fries,280,100,11.0,1.0,0.1,0.0,770.0,43.0,4.0,0.0,3.0,17.0,5.0,0.0,32.0,14.0,16.0,6.0,0.0,40.0,2.0,6.0,Snacks & Sides,8.0,8.0,7.0
dairy-queen,Large Fries,460,170,19.0,1.5,0.1,0.0,1250.0,70.0,7.0,1.0,5.0,29.0,8.0,0.0,52.0,23.0,28.0,10.0,0.0,70.0,2.0,10.0,Snacks & Sides,14.0,14.0,12.0
dairy-queen,Regular Onion Rings,260,120,14.0,2.0,0.0,0.0,730.0,32.0,2.0,3.0,4.0,22.0,10.0,0.0,30.0,11.0,8.0,8.0,0.0,0.0,4.0,10.0,Snacks & Sides,8.0,8.0,7.0
dairy-queen,Large Onion Rings,530,240,27.0,4.0,0.0,0.0,1450.0,64.0,4.0,7.0,9.0,42.0,20.0,0.0,60.0,21.0,16.0,18.0,0.0,0.0,8.0,25.0,Snacks & Sides,17.0,17.0,14.0
dairy-queen,Potato Skins,260,140,15.0,6.0,0.3,35.0,1070.0,20.0,3.0,1.0,12.0,23.0,30.0,12.0,45.0,7.0,12.0,24.0,0.0,8.0,10.0,10.0,Snacks & Sides,8.0,8.0,7.0
dairy-queen,Poutine,450,190,21.0,4.5,0.1,20.0,1520.0,59.0,5.0,1.0,9.0,32.0,23.0,7.0,63.0,20.0,20.0,18.0,0.0,50.0,15.0,8.0,Snacks & Sides,14.0,14.0,12.0
dairy-queen,Grilled Ranch Chicken Wrap,250,110,13.0,3.0,0.2,25.0,800.0,22.0,1.0,2.0,15.0,20.0,15.0,8.0,33.0,7.0,4.0,30.0,0.0,4.0,10.0,6.0,Snacks & Sides,6.0,7.0,7.0
dairy-queen,Crispy Ranch Chicken Wrap,320,150,17.0,3.5,0.2,25.0,800.0,31.0,1.0,2.0,12.0,26.0,18.0,8.0,33.0,10.0,4.0,24.0,0.0,4.0,10.0,10.0,Snacks & Sides,9.0,10.0,9.0
dairy-queen,Soft Pretzel Sticks with Zesty Queso,330,80,9.0,3.0,0.0,5.0,2060.0,52.0,2.0,7.0,9.0,14.0,15.0,2.0,86.0,17.0,8.0,18.0,2.0,0.0,0.0,25.0,Snacks & Sides,11.0,11.0,9.0
dairy-queen,Banana Split,520,130,14.0,10.0,0.1,35.0,210.0,96.0,4.0,73.0,11.0,22.0,50.0,12.0,9.0,32.0,16.0,22.0,0.0,35.0,25.0,6.0,Sundaes & Royal Treats,26.0,26.0,15.0
dairy-queen,Brownie and Oreo Cupfection,750,210,23.0,9.0,0.1,60.0,400.0,123.0,2.0,96.0,12.0,35.0,45.0,20.0,17.0,41.0,8.0,24.0,0.0,0.0,25.0,25.0,Sundaes & Royal Treats,36.0,36.0,20.0
dairy-queen,Small Caramel Sundae,290,80,9.0,5.0,0.0,30.0,180.0,51.0,0.0,41.0,7.0,14.0,25.0,10.0,8.0,17.0,0.0,14.0,10.0,0.0,25.0,0.0,Sundaes & Royal Treats,14.0,14.0,8.0
dairy-queen,Medium Caramel Sundae,420,110,12.0,8.0,0.0,40.0,260.0,75.0,0.0,59.0,10.0,18.0,40.0,13.0,11.0,25.0,0.0,20.0,15.0,0.0,35.0,0.0,Sundaes & Royal Treats,21.0,21.0,12.0
dairy-queen,Large Caramel Sundae,600,160,17.0,11.0,0.0,60.0,360.0,105.0,0.0,83.0,14.0,26.0,55.0,20.0,15.0,35.0,0.0,28.0,25.0,0.0,45.0,0.0,Sundaes & Royal Treats,30.0,30.0,17.0
dairy-queen,Small Cherry Sundae,240,70,7.0,4.5,0.0,25.0,140.0,40.0,0.0,34.0,6.0,11.0,23.0,8.0,6.0,13.0,0.0,12.0,10.0,2.0,20.0,0.0,Sundaes & Royal Treats,12.0,12.0,7.0
dairy-queen,Medium Cherry Sundae,340,90,10.0,7.0,0.0,35.0,200.0,58.0,0.0,49.0,9.0,15.0,35.0,12.0,8.0,19.0,0.0,18.0,15.0,2.0,30.0,0.0,Sundaes & Royal Treats,17.0,17.0,10.0
dairy-queen,Large Cherry Sundae,480,140,15.0,10.0,0.0,55.0,290.0,82.0,0.0,69.0,13.0,23.0,50.0,18.0,12.0,27.0,0.0,26.0,20.0,2.0,45.0,0.0,Sundaes & Royal Treats,24.0,24.0,14.0
dairy-queen,Small Chocolate Sundae,270,70,8.0,5.0,0.0,25.0,160.0,49.0,1.0,42.0,7.0,12.0,25.0,8.0,7.0,16.0,4.0,14.0,10.0,0.0,20.0,4.0,Sundaes & Royal Treats,14.0,14.0,8.0
dairy-queen,Medium Chocolate Sundae,390,100,11.0,7.0,0.0,35.0,230.0,72.0,1.0,61.0,10.0,17.0,35.0,12.0,10.0,24.0,4.0,20.0,15.0,0.0,30.0,6.0,Sundaes & Royal Treats,20.0,20.0,11.0
dairy-queen,Large Chocolate Sundae,550,140,15.0,10.0,0.0,55.0,320.0,100.0,1.0,86.0,14.0,23.0,50.0,18.0,13.0,33.0,4.0,28.0,20.0,0.0,45.0,8.0,Sundaes & Royal Treats,28.0,28.0,16.0
dairy-queen,Small Hot Fudge Sundae,290,100,11.0,8.0,0.0,25.0,180.0,47.0,0.0,36.0,7.0,17.0,40.0,8.0,8.0,16.0,0.0,14.0,10.0,0.0,25.0,4.0,Sundaes & Royal Treats,15.0,15.0,9.0
dairy-queen,Medium Hot Fudge Sundae,430,140,16.0,12.0,0.0,40.0,260.0,68.0,1.0,53.0,10.0,25.0,60.0,13.0,11.0,23.0,4.0,20.0,15.0,0.0,35.0,4.0,Sundaes & Royal Treats,22.0,22.0,12.0
dairy-queen,Large Hot Fudge Sundae,600,200,22.0,16.0,0.0,55.0,360.0,96.0,1.0,74.0,15.0,34.0,80.0,18.0,15.0,32.0,4.0,30.0,20.0,0.0,50.0,6.0,Sundaes & Royal Treats,30.0,30.0,17.0
